,0,1,2
0,watson bros bistro brewery,deka brewery,86
1,brownstone restaurant brewhouse,brewhouse at whistler high mountain brewing company,86
2,kiesel brau,st georgs brau gmbh,86
3,hopmonk tavern,honest town brewery the dark horse tavern,86
4,alter bahnhof malsch,gasthaus gosebrauerei bayerischer bahnhof,86
5,boscos restaurant brewing co memphis,walking man brewing co,86
6,spessart brauerei gmbh,kaltenberg international konig ludwig international gmbh cokg,86
7,oulton ales limited,thomas hardy burtonwood limited,86
8,foundry ale works,the brew kettle taproom smokehouse production works,86
9,brasserie authentique,le brassetemps louvainlaneuve brasserie dubuisson freres,86
10,wind valley brewery rakuno okoku kabushiki kaisha brewery,watson bros bistro brewery,86
11,old world brewery,watson bros bistro brewery,86
12,kolberg brauerei,karlsberg brauerei,88
13,glenbar malting,turk tuborg brewing and malting,86
14,harts pub rocks brewing co,pisgah brewing co,86
15,the depot restaurant lounge,the perfect pear cafe the vermont beer company,86
16,extraomnes,coastal extreme brewing co,61
17,sudwerk,sudwerk restaurant and brewery,90
18,carlsberg sverige ab,carlsberg sverige,95
19,huisbrouwerij boelens,brouwerij straffe hendrik huisbrouwerij de halve maan,86
20,australian pizza kitchen brewery,deka brewery,86
21,kaltenberg international konig ludwig international gmbh cokg,spessart brauerei gmbh,86
22,old boys brew house,the brew kettle taproom smokehouse production works,86
23,arbor brewing company,warbird brewing company,91
24,yanjing pijiu guilin liquan gufen youxian gongsi,egan sons,60
25,northern ales grocery,slaters ales,86
26,wincle beer company limited,brewhouse at whistler high mountain brewing company,86
27,cayucos brewing company,camo brewing company,88
28,mobjack bay brewing company,rocky bay brewing company,88
29,casa di conti,arriba mexican grill casa arriba brewing company,86
30,groupe geloso,barlan beverages group,64
31,kronen brauhaus,brauhaus simon strasser,86
32,hawks brewing,walking man brewing co,86
33,browar kormoran,browar zwierzyniec zp w lublinie sa,86
34,karibrew,deka brewery,68
35,skookum brewery,watson bros bistro brewery,86
36,draught microbrewery bar grill,the pumphouse bar,86
37,six row brewing company,boscos restaurant brewing co memphis,86
38,krombacher brauerei,gatzweiler brauerei dusseldorf,86
39,bright brewery,seabright brewery,90
40,niigata beer co,boscos restaurant brewing co memphis,86
41,athenian brewery,natian brewery,87
42,little yeoman brewery,deka brewery,86
43,jalehouse beer turtle distributing co,walking man brewing co,86
44,susukino jibeer shimijimi sapporo restaurantbrewpub,sapporo kaitakushi brewery harriet,86
45,oettinger international getrankevertriebs gmbh,spessart brauerei gmbh,86
46,moody cow brewery,watson bros bistro brewery,86
47,derwent brewing co,whale gulch brewing company,86
48,bierbrouwerij de keyzer,antarctica companhia brasileira de bebidas,86
49,cervejaria rsw abadessa,cervejaria wals,86
50,seven sheds brewery,deka brewery,86
51,brauhaus simon strasser,kronen brauhaus,86
