,0
43,altbier
19,american adjunct lager
16,american amber
30,american barleywine
54,american black ale
20,american blonde ale
64,american brown ale
84,american dark wheat ale
4,american double
13,american ipa
85,american malt liquor
10,american pale ale (apa)
8,american pale lager
47,american pale wheat ale
11,american porter
14,american stout
17,american strong ale
80,american wild ale
82,ancient herbed ale
86,baltic porter
72,belgian dark ale
61,belgian ipa
26,belgian pale ale
12,belgian strong dark ale
31,belgian strong pale ale
96,berliner weissbier
103,biere brut
103,biere de champagne
73,biere de garde
75,black & tan
41,bock
93,braggot
58,california common
77,chile beer
79,cream ale
59,czech pilsener
32,doppelbock
35,dortmunder
67,dubbel
69,dunkelweizen
95,eisbock
56,english barleywine
27,english bitter
22,english brown ale
57,english dark mild ale
42,english india pale ale (ipa)
60,english pale ale
89,english pale mild ale
28,english porter
78,english stout
1,english strong ale
37,euro dark lager
21,euro pale lager
36,euro strong lager
35,export lager
2,export stout
40,extra special
55,farmhouse ale
98,faro
63,flanders oud bruin
68,flanders red ale
2,foreign
24,fruit
3,german pilsener
100,gose
99,gueuze
101,happoshu
0,hefeweizen
33,helles bock
5,herbed
4,imperial ipa
81,imperial pilsner
25,imperial stout
29,irish dry stout
76,irish red ale
74,japanese rice lager
71,keller bier
44,kolsch
88,kristalweizen
97,kvass
90,lambic - fruit
94,lambic - unblended
6,light lager
38,low alcohol beer
33,maibock
18,marzen
48,milk
45,munich dunkel lager
87,munich helles lager
7,oatmeal stout
18,oktoberfest
91,old ale
34,pumpkin ale
92,quadrupel (quad)
9,rauchbier
16,red ale
51,red lager
70,roggenbier
15,russian imperial stout
46,rye beer
102,sahti
55,saison
49,schwarzbier
23,scotch ale
52,scottish ale
82,scottish gruit
66,smoked beer
5,spiced beer
58,steam beer
40,strong bitter (esb)
48,sweet stout
62,tripel
24,vegetable beer
50,vienna lager
23,wee heavy
39,weizenbock
83,wheatwine
65,winter warmer
53,witbier
71,zwickel bier
